#No.: ETA value [eV], spt, dt
No.535: 0.141395, 27.79999999999996, 15.0
No.536: 0.140756, 27.99999999999996, 15.0
No.537: 0.140136, 28.19999999999996, 15.0
No.538: 0.13957, 28.39999999999996, 15.0
No.539: 0.138978, 28.59999999999996, 15.0
No.540: 0.138387, 28.799999999999958, 15.0
No.541: 0.137827, 28.999999999999957, 15.0
No.542: 0.137273, 29.199999999999957, 15.0
No.543: 0.136761, 29.399999999999956, 15.0
No.544: 0.13625, 29.599999999999955, 15.0
No.545: 0.135753, 29.799999999999955, 15.0
No.546: 0.135227, 29.999999999999954, 15.0
No.547: 0.134722, 30.199999999999953, 15.0
No.548: 0.134179, 30.399999999999952, 15.0
No.549: 0.133734, 30.59999999999995, 15.0
No.550: 0.133293, 30.79999999999995, 15.0
No.551: 0.132801, 30.99999999999995, 15.0
No.552: 0.132381, 31.19999999999995, 15.0
No.553: 0.131951, 31.39999999999995, 15.0
No.554: 0.131664, 31.599999999999948, 15.0
No.555: 0.131669, 31.799999999999947, 15.0
No.556: 0.131789, 31.999999999999947, 15.0
No.557: 0.131949, 32.199999999999946, 15.0
No.558: 0.132251, 32.39999999999995, 15.0
No.559: 0.132613, 32.599999999999945, 15.0
No.560: 0.133094, 32.79999999999994, 15.0
No.561: 0.133632, 32.99999999999994, 15.0
No.562: 0.134063, 33.199999999999946, 15.0
No.563: 0.134501, 33.39999999999994, 15.0
No.564: 0.134941, 33.59999999999994, 15.0
No.565: 0.135414, 33.79999999999994, 15.0
No.566: 0.135903, 33.99999999999994, 15.0
No.567: 0.136324, 34.19999999999994, 15.0
No.568: 0.136732, 34.399999999999935, 15.0
No.569: 0.137135, 34.59999999999994, 15.0
No.570: 0.137507, 34.79999999999994, 15.0
No.571: 0.137932, 34.999999999999936, 15.0
No.572: 0.138348, 35.19999999999993, 15.0
No.573: 0.138705, 35.399999999999935, 15.0
No.574: 0.139029, 35.59999999999994, 15.0
No.575: 0.139416, 35.79999999999993, 15.0
No.576: 0.139737, 35.99999999999993, 15.0
No.577: 0.140063, 36.19999999999993, 15.0
No.578: 0.140385, 36.399999999999935, 15.0
No.579: 0.140716, 36.59999999999993, 15.0
No.580: 0.141041, 36.799999999999926, 15.0
No.581: 0.141304, 36.99999999999993, 15.0
