#No.: ETA [eV], sigma_den, r0_den, simga_s, r0_s, sigma_p, r0_p, sigma_d, r0_d, stos(y1s), stos(y2s), stos(y3s), stop(y1p), stop(y2p), stop(y3p), stod(y1d), stod(y2d), stod(y3d), sdt, sdt3kbt 
#| iter | 1/target | x0 | x1 | x2 | x3 | x4 | x5 | x6 | x7 | x8 | x9 | x10 | x11 | x12 | x13 | x14 | x15 | x16 | SDT | SDT(3kbT) |
No.93: 9.999, 11.9, 7.8, 5.1, 4.3, 7.8, 5.4, 5.1, 5.8, 1.07, 2.08, 4.27, 0.86, 1.50, 5.22, 2.02, 6.09, 13.98, 9.999, 9.999
No.94: 0.267557, 12.3, 8.3, 5.2, 4.4, 7.9, 5.4, 5.1, 5.9, 1.00, 2.11, 4.20, 0.91, 1.45, 5.42, 2.00, 6.15, 14.02, 0.190677, 2.58519
No.95: 9.999, 12.3, 8.0, 5.3, 4.4, 8.1, 5.4, 5.0, 5.9, 1.02, 2.13, 4.23, 0.94, 1.52, 5.44, 2.11, 6.16, 14.14, 9.999, 9.999
No.96: 9.999, 12.6, 6.3, 5.4, 4.6, 7.4, 5.8, 5.1, 6.2, 1.00, 2.30, 3.76, 0.88, 1.60, 5.66, 1.96, 5.59, 12.74, 9.999, 9.999
No.97: 0.264, 12.2, 8.2, 5.1, 4.4, 7.7, 5.4, 5.1, 5.8, 1.02, 2.07, 4.24, 0.89, 1.43, 5.33, 1.96, 6.10, 13.99, 0.189674, 2.58519
No.98: 0.234617, 10.4, 5.6, 5.9, 4.4, 7.8, 5.6, 4.5, 6.3, 0.91, 1.89, 4.12, 0.75, 1.45, 5.43, 2.02, 5.82, 14.58, 0.21593, 2.58519
No.99: 9.999, 11.9, 5.0, 5.5, 4.1, 8.3, 6.0, 5.0, 6.2, 0.86, 1.80, 4.01, 0.69, 1.56, 5.73, 1.98, 5.63, 14.47, 9.999, 9.999
No.100: 0.230875, 11.0, 5.2, 6.2, 4.6, 7.8, 5.7, 4.6, 6.2, 0.89, 1.95, 4.15, 0.70, 1.56, 5.17, 2.10, 5.75, 14.03, 0.243848, 2.58519
No.101: 9.999, 10.9, 5.3, 6.2, 4.5, 7.8, 5.6, 4.6, 6.3, 0.90, 1.94, 4.14, 0.71, 1.54, 5.23, 2.08, 5.77, 14.16, 9.999, 9.999
No.102: 9.999, 11.8, 3.7, 6.0, 4.4, 7.5, 6.0, 4.5, 6.0, 0.89, 2.03, 4.15, 0.69, 1.48, 5.14, 2.07, 5.91, 14.61, 9.999, 9.999
No.103: 9.999, 11.3, 5.2, 6.4, 4.5, 7.9, 5.9, 4.7, 6.4, 0.89, 1.93, 4.37, 0.73, 1.52, 5.37, 2.05, 5.58, 13.53, 9.999, 9.999
No.104: 9.999, 11.3, 6.2, 6.4, 4.6, 8.0, 5.7, 4.5, 6.2, 0.89, 1.91, 3.99, 0.73, 1.59, 5.09, 2.12, 5.66, 14.16, 9.999, 9.999
No.105: 0.82787, 11.1, 5.1, 6.3, 4.6, 7.8, 5.7, 4.6, 6.2, 0.89, 1.96, 4.15, 0.69, 1.58, 5.12, 2.11, 5.74, 13.96, 1.613143, 2.58519
No.106: 9.999, 10.5, 4.5, 6.3, 4.5, 8.0, 5.6, 4.6, 6.4, 0.88, 2.00, 4.18, 0.68, 1.53, 5.33, 2.02, 5.82, 13.95, 9.999, 9.999
No.107: 0.169347, 11.2, 5.7, 6.2, 4.6, 7.6, 5.6, 4.7, 6.3, 0.89, 1.89, 4.02, 0.70, 1.58, 5.01, 2.02, 5.55, 14.31, 0.192608, 2.58519
No.108: 9.999, 11.2, 5.6, 6.2, 4.6, 7.6, 5.6, 4.7, 6.3, 0.89, 1.90, 4.04, 0.70, 1.58, 5.02, 2.02, 5.57, 14.27, 9.999, 9.999
No.109: 0.165812, 11.1, 5.6, 6.1, 4.6, 7.7, 5.5, 4.7, 6.4, 0.89, 1.87, 4.11, 0.69, 1.57, 5.12, 2.02, 5.64, 14.50, 0.194571, 2.58519
No.110: 0.17494, 10.9, 5.5, 6.0, 4.5, 7.8, 5.4, 4.7, 6.6, 0.90, 1.91, 4.19, 0.68, 1.61, 5.13, 2.00, 5.75, 14.50, 0.2004, 2.58519
No.111: 0.15077, 11.0, 6.2, 6.2, 4.6, 7.5, 5.6, 4.7, 6.4, 0.90, 1.83, 4.11, 0.71, 1.53, 5.08, 2.00, 5.75, 14.33, 0.167903, 2.58519
No.112: 0.140768, 10.7, 6.2, 6.3, 4.6, 7.6, 5.5, 4.6, 6.4, 0.91, 1.85, 4.14, 0.71, 1.51, 5.05, 2.01, 5.78, 14.24, 0.16627, 2.58519
No.113: 0.156182, 10.4, 6.7, 6.4, 4.6, 7.7, 5.5, 4.5, 6.5, 0.91, 1.83, 4.16, 0.72, 1.54, 5.07, 1.97, 5.84, 14.11, 0.160651, 2.58519
No.114: 0.126759, 10.4, 6.2, 6.4, 4.7, 7.6, 5.5, 4.5, 6.3, 0.92, 1.83, 4.07, 0.71, 1.54, 4.98, 2.04, 5.84, 14.18, 0.164451, 2.58519
No.115: 9.999, 10.4, 5.9, 6.3, 4.7, 7.5, 5.4, 4.5, 6.3, 0.93, 1.81, 4.02, 0.70, 1.56, 5.03, 2.07, 5.83, 14.19, 9.999, 9.999
No.116: 0.149579, 10.5, 6.5, 6.4, 4.6, 7.5, 5.5, 4.5, 6.4, 0.92, 1.81, 4.05, 0.71, 1.54, 5.01, 2.02, 5.79, 14.16, 0.164332, 2.58519
No.117: 0.142801, 10.2, 6.1, 6.4, 4.6, 7.6, 5.5, 4.5, 6.3, 0.91, 1.81, 4.09, 0.70, 1.55, 4.96, 2.02, 5.87, 14.18, 0.171598, 2.58519
No.118: 0.125664, 10.5, 6.1, 6.3, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.83, 4.04, 0.71, 1.55, 4.99, 2.04, 5.81, 14.20, 0.166025, 2.58519
No.119: 0.141042, 10.4, 5.8, 6.4, 4.7, 7.7, 5.4, 4.5, 6.3, 0.92, 1.84, 4.04, 0.71, 1.56, 5.00, 2.06, 5.84, 14.22, 0.179369, 2.58519
No.120: 0.126787, 10.5, 6.2, 6.4, 4.7, 7.6, 5.5, 4.5, 6.4, 0.92, 1.85, 4.02, 0.70, 1.56, 4.99, 2.06, 5.83, 14.18, 0.164361, 2.58519
No.121: 0.126888, 10.4, 6.1, 6.4, 4.7, 7.6, 5.5, 4.5, 6.3, 0.92, 1.83, 4.06, 0.70, 1.55, 4.98, 2.03, 5.84, 14.19, 0.165775, 2.58519
No.122: 0.125658, 10.5, 6.2, 6.4, 4.7, 7.6, 5.4, 4.5, 6.4, 0.92, 1.84, 4.04, 0.70, 1.55, 4.97, 2.06, 5.80, 14.25, 0.164749, 2.58519
